contig	start	end	coordinates	target_size	description	genic_context	gene
chr11	108510787	108513187	chr11:108510787-108513187	2400	region_1111	genic	EXPH5
chr13	75803912	75806312	chr13:75803912-75806312	2400	region_1501	genic	LMO7
chr14	74661755	74664155	chr14:74661755-74664155	2400	region_1725	genic	AREL1
chr18	5749264	5751664	chr18:5749264-5751664	2400	region_2457	genic	MIR3976HG
chr2	40162767	40165167	chr2:40162767-40165167	2400	region_2896	genic	SLC8A1-AS1
chr20	24153684	24156084	chr20:24153684-24156084	2400	region_3388	genic	LINC01721
chr6	155239014	155241414	chr6:155239014-155241414	2400	region_5020	genic	TIAM2
chr7	11732774	11735174	chr7:11732774-11735174	2400	region_5144	genic	THSD7A
chr8	51513056	51515456	chr8:51513056-51515456	2400	region_5520	genic	PXDNL
chr9	23709463	23711863	chr9:23709463-23711863	2400	region_5739	genic	ELAVL2
chr1	84597127	84599527	chr1:84597127-84599527	2400	region_208	genic/ intergenic	LINC01461
chr16	51754103	51756503	chr16:51754103-51756503	2400	region_2115	genic/ intergenic	LOC105371257
chr19	31831021	31833421	chr19:31831021-31833421	2400	region_2739	genic/ intergenic	LINC01837
chr4	22386244	22388644	chr4:22386244-22388644	2400	region_4173	genic/ intergenic	ADGRA3
chr12	114115043	114117443	chr12:114115043-114117443	2400	region_1355	intergenic	
chr15	46089737	46092137	chr15:46089737-46092137	2400	region_1904	intergenic	
chr17	70672726	70675126	chr17:70672726-70675126	2400	region_2378	intergenic	
chr21	23665976	23668376	chr21:23665976-23668376	2400	region_3515	intergenic	
chr22	48262370	48264770	chr22:48262370-48264770	2400	region_3703	intergenic	
chr10	128969037	128971437	chr10:128969037-128971437	2400	region_784	intergenic	
