contig	start	end	target_size	label	genic_context	region_GC_content	genome
chr1	69304217	69306617	2400	chr1	intergenic	37.3	mm10
chr1	155235938	155238338	2400	chr1.2	genic	54	mm10
chr2	50833175	50835575	2400	chr2	intergenic	45.3	mm10
chr3	109633160	109635560	2400	chr3	genic	39.2	mm10
chr4	96825280	96827680	2400	chr4	intergenic	39.4	mm10
chr5	18210612	18213012	2400	chr5	intergenic	35.6	mm10
chr6	119170706	119173106	2400	chr6	genic	40.5	mm10
chr7	142683053	142685453	2400	chr7	genic	45.9	mm10
chr8	43954521	43956921	2400	chr8	intergenic	35.6	mm10
chr9	28648072	28650472	2400	chr9	genic	37.3	mm10
chr10	21442014	21444414	2400	chr10	intergenic	46.3	mm10
chr11	37934364	37936764	2400	chr11	intergenic	35.8	mm10
chr12	80601542	80603942	2400	chr12	genic	52	mm10
chr13	74030071	74032471	2400	chr13	genic	50.4	mm10
chr14	13076171	13078571	2400	chr14	intergenic	42.2	mm10
chr15	66779762	66782162	2400	chr15	genic	44	mm10
chr16	72381580	72383980	2400	chr16	intergenic	38.3	mm10
chr17	94009028	94011428	2400	chr17	intergenic	35.2	mm10
chr18	81262078	81264478	2400	chr18	intergenic	47.3	mm10
chr19	4618813	4621213	2400	chr19	genic	56.1	mm10
