contig	start	end	target_size	genic_context	label	genome
chr1	161626800	161629200	2400	genic	chr1	rn6
chr2 	179595055	179597455	2400	genic	chr2a	rn6
chr2 	181015543	181017943	2400	genic	chr2b	rn6
chr3	54836637	54839037	2400	intergenic	chr3	rn6
chr4	79761469	79763869	2400	intergenic	chr4	rn6
chr5	29141921	29144321	2400	intergenic	chr5	rn6
chr6	136600186	136602586	2400	genic	chr6	rn6
chr7	115648420	115650820	2400	intergenic	chr7	rn6
chr8	29660585	29662985	2400	genic	chr8	rn6
chr9 	27946983	27949383	2400	intergenic	chr9a	rn6
chr9 	99366585	99368985	2400	intergenic	chr9b	rn6
chr10	2799857	2802257	2400	intergenic	chr10	rn6
chr11	44972869	44975269	2400	genic	chr11	rn6
chr12	43604760	43607160	2400	intergenic	chr12	rn6
chr13	91889824	91892224	2400	intergenic	chr13	rn6
chr16	19032690	19035090	2400	genic	chr16	rn6
chr17	40721349	40723749	2400	intergenic	chr17	rn6
chr18	82117528	82119928	2400	intergenic	chr18	rn6
chr19	34409595	34411995	2400	intergenic	chr19	rn6
chr20	17663390	17665790	2400	intergenic	chr20	rn6
