contig	start	end	label	genic_context	region_GC_content
chr1	69304217	69306617	chr1	intergenic	37.3
chr1	155235938	155238338	chr1.2	genic	54
chr2	50833175	50835575	chr2	intergenic	45.3
chr3	109633160	109635560	chr3	genic	39.2
chr4	96825280	96827680	chr4	intergenic	39.4
chr5	18210612	18213012	chr5	intergenic	35.6
chr6	119170706	119173106	chr6	genic	40.5
chr7	142683053	142685453	chr7	genic	45.9
chr8	43954521	43956921	chr8	intergenic	35.6
chr9	28648072	28650472	chr9	genic	37.3
chr10	21442014	21444414	chr10	intergenic	46.3
chr11	37934364	37936764	chr11	intergenic	35.8
chr12	80601542	80603942	chr12	genic	52
chr13	74030071	74032471	chr13	genic	50.4
chr14	13076171	13078571	chr14	intergenic	42.2
chr15	66779762	66782162	chr15	genic	44
chr16	72381580	72383980	chr16	intergenic	38.3
chr17	94009028	94011428	chr17	intergenic	35.2
chr18	81262078	81264478	chr18	intergenic	47.3
chr19	4618813	4621213	chr19	genic	56.1

